group,n,qhat
100y-1ky,31,0.00011557599965471635
10y-100y,465,4.9689443991386304e-05
1d-1y,310,8.502372406344526e-07
1ky-10ky,31,0.00010959909716075356
1y-10y,2914,3.707074650835849e-05
>10ky,31,0.00010959909716075356
